Code,Type,Category
7.6,7.6 Moesian mountainous beech forest,7. Mountainous beech forest
7.7,7.7 Crimean mountainous beech forest,7. Mountainous beech forest
7.8,7.8 Oriental beech and hornbeam‑oriental beech forest,7. Mountainous beech forest
8.1,8.1 Downy oak forest,8. Thermophilous deciduous forest
8.2,"8.2 Turkey oak, Hungarian oak and Sessile oak forest",8. Thermophilous deciduous forest
8.3,8.3 Pyrenean oak forest,8. Thermophilous deciduous forest
8.4,8.4 Portuguese oak and Mirbeck's oak Iberian forest,8. Thermophilous deciduous forest
8.5,8.5 Macedonian oak forest,8. Thermophilous deciduous forest
8.6,8.6 Valonia oak forest,8. Thermophilous deciduous forest
8.7,8.7 Chestnut forest,8. Thermophilous deciduous forest
8.8,8.8 Other thermophilous deciduous forests,8. Thermophilous deciduous forest
9.1,9.1 Mediterranean evergreen oak forest,9. Broadleaved evergreen forest
9.2,9.2 Olive‑carob forest,9. Broadleaved evergreen forest
9.3,9.3 Palm groves,9. Broadleaved evergreen forest
9.4,9.4 Macaronesian laurisilva,9. Broadleaved evergreen forest
9.5,9.5 Other sclerophlyllous forests,9. Broadleaved evergreen forest
10.1,10.1 Mediterranean pine forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.2,10.2 Mediterranean and Anatolian Black pine forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.3,10.3 Canarian pine forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.4,10.4 Mediterranean and Anatolian Scots pine forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.5,10.5 Alti‑Mediterranean pine forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.6,10.6 Mediterranean and Anatolian fir forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.7,10.7 Juniper forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.8,10.8 Cypress forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.9,10.9 Cedar forest,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.10,10.10 Tetraclinis articulata stands,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
10.11,10.11 Mediterranean yew stands,"10. Coniferous forests of the Mediterranean, Anatolian and Macaronesian regions"
11.1,11.1 Conifer dominated or mixed mire forest,11. Mire and swamp forest
11.2,11.2 Alder swamp forest,11. Mire and swamp forest
11.3,11.3 Birch swamp forest,11. Mire and swamp forest
11.4,11.4 Pedunculate oak swamp forest,11. Mire and swamp forest
11.5,11.5 Aspen swamp forest,11. Mire and swamp forest
12.1,12.1 Riparian forest,12. Floodplain forest
12.2,12.2 Fluvial forest,12. Floodplain forest
12.3,12.3 Mediterranean and Macaronesian riparian forest,12. Floodplain forest
13.1,13.1 Alder forest,"13. Non riverine alder, birch, or aspen forest"
13.2,13.2 Italian alder forest,"13. Non riverine alder, birch, or aspen forest"
13.3,13.3 Boreal birch forest,"13. Non riverine alder, birch, or aspen forest"
13.4,13.4 Southern boreal birch forest,"13. Non riverine alder, birch, or aspen forest"
13.5,13.5 Aspen forest,"13. Non riverine alder, birch, or aspen forest"
14.1,14.1 Plantations of site‑native species,14. Plantations and self-sown exotic forest
14.2,14.2 Plantations of not‑site‑native species and self‑sown exotic forest,14. Plantations and self-sown exotic forest
