plottype,plot_id,year,period,height_class,subplot_id,number_of_tree_species,rubbing_damage_perc,approx_nr_regeneration_ha,mean_number_of_regeneration_ha,lci_number_of_regeneration_ha,uci_number_of_regeneration_ha
CA,21000,2019,2,1000,17,6,,118400,356224.45161161607,269819.02366362326,470299.9002924065
CA,21000,2019,2,1000,18,3,,205200,637731.5194893479,369344.22472721594,1101144.8500394647
CA,21000,2019,2,2000,18,1,,300,316.2277660247436,200.00000000999995,499.9999999999999
CA,21000,2019,2,1000,19,4,,205300,637831.519489353,423448.9394808677,960751.1303555366
CA,21000,2019,2,2000,19,2,,1800,1799.467463450618,1368.851795092969,2365.5469230673566
CA,21000,2019,2,3000,19,1,,100,100.000000005,100,100.00000001
CP,2006,2021,3,1000,1,1,,10610.32953945969,10250.55218385994,7427.230677657151,14147.106052612913
CP,2006,2021,3,2000,1,1,,1061.032953945969,1118.426935683228,707.3553026660136,1768.3882565766146
CP,2006,2021,3,3000,1,1,,6189.358898018152,6189.358898022574,6189.358898018155,6189.358898026994
CA,11000,2021,3,1000,155511,1,,8000,7810.249675913055,6100.000000009996,10000.000000000004
CA,11000,2021,3,2000,155511,1,,800,774.5966692479383,600.0000000099998,1000.0000000000001
CA,11000,2021,3,3000,155511,1,,700,700.000000005,700.0000000000001,700.0000000099999
CA,11000,2021,3,4000,155511,1,,300,300.00000000500006,300.00000000000006,300.00000001000006
CA,11000,2021,3,1000,155521,1,,1500,1483.2396974258745,1100.0000000100001,1999.9999999999995
CA,11000,2021,3,2000,155521,1,,3000,2898.275349244788,2100.0000000100003,3999.9999999999977
CA,11000,2021,3,3000,155521,1,,1500,1500.000000005,1500,1500.00000001
CA,11000,2021,3,4000,155521,1,,200,200.000000005,200,200.00000001
CA,11000,2021,3,1000,155531,3,,11200,32871.321599429815,21593.49527027929,50039.31833029112
CA,11000,2021,3,2000,155531,1,,3000,2898.275349244788,2100.0000000100003,3999.9999999999977
CA,11000,2021,3,3000,155531,1,,300,300.00000000500006,300.00000000000006,300.00000001000006
