plot_id	period	number_of_tree_species	number_of_trees_ha	stem_number_ha	basal_area_alive_m2_ha	stems_per_tree	basal_area_dead_m2_ha	vol_alive_m3_ha	vol_dead_standing_m3_ha	vol_bole_alive_m3_ha	vol_bole_dead_m3_ha	vol_log_m3_ha	vol_deadw_m3_ha	year	survey_deadw
218	1	2	763.943726841098	763.943726841098	38.574375	1	1.738125	304.948591656978	11.7268007082792	298.735200879651	11.3927392287373	13.2378635888643	24.9646642971435	1999	1
219	1	3	835.56345123245	835.56345123245	24.43890625	1	0.4225	184.449797527688	2.21510582780048	179.531015522956	2.21510582780048	0.102543529834108	2.31764935763458	1999	1
220	1	4	469.507082121091	469.507082121091	34.383125	1	4.55375	286.853308465996	35.0433561750061	280.672441184054	34.3102774249972	12.8472496120339	47.89060578704	1999	1
221	1	4	819.647956923261	819.647956923261	31.0275	1	0.841875	246.923453409657	5.00691511252775	239.495829494955	5.00691511252775	0.48611490043273	5.49303001296048	1999	1
223	1	2	684.36625529515	684.36625529515	37.994375	1	2.474375	304.634273134702	16.6968784284143	299.223371951462	16.3560096063655	16.7569942397993	33.4538726682136	1999	1
224	1	5	660.493013831366	660.493013831366	39.605625	1	3.80625	324.343569006746	25.8900254255516	317.531260949119	25.4119330998307	9.25544881408315	35.1454742396347	1999	1
225	1	5	620.704278058392	620.704278058392	38.45078125	1	1.800625	324.192708877142	12.7121186746604	312.824473999592	12.4455049200765	6.04174445668867	18.7538631313491	1999	1
226	1	6	684.36625529515	684.36625529515	37.02875	1	2.14125	312.998587030393	13.2852859151667	296.936137115318	13.133738863589	7.94772835092713	21.2330142660938	1999	1
227	1	4	533.169059357849	533.169059357849	32.365	1	2.701875	271.849985734437	19.5391058003873	262.099755440138	19.1378369087213	5.59665970058504	25.1357655009724	1999	1
228	1	5	572.957795130823	572.957795130823	39.83703125	1	4.449375	335.135250173628	30.5946638218172	325.151964471539	29.6260782064921	13.7273525740906	44.3220163959078	1999	1
229	1	2	1185.70432603462	1185.70432603462	31.603125	1	0.69875	230.245760005598	4.23109724055866	224.857134221908	4.17848624266222	0.260862909474771	4.49196015003343	1999	1
2001	1	3	284.514021724771	284.514021724771	35.118125	1	0.36005518916275	626.052249166907	5.44296424700479	503.214506489585	4.91367133933134	NA	NA	2000	0
2002	1	2	185.091304188352	185.091304188352	23.1314197530864	1	2.40314613137175	446.521151209176	48.6368129449949	338.130504285399	37.4506695734242	NA	NA	2000	0
2003	1	4	191.771882046531	191.771882046531	27.9977469135802	1	1.60330130914987	488.374536440472	15.0752941113624	406.503432830069	14.3607987288673	NA	NA	2000	0
2004	1	3	113.176848420903	113.176848420903	32.6036111111111	1	0	635.013873815834	0	501.377705042738	0	NA	NA	2000	0
2005	1	4	313.201208998125	313.201208998125	37.4099382716049	1	0.934587697795902	617.023312384011	14.310493470729	522.622885270713	12.5919669916804	NA	NA	2000	0
2006	1	2	159.940893428152	159.940893428152	29.4675308641975	1	0.338940841650119	567.160788013146	3.87472521461329	441.475366247842	3.54164306255839	NA	NA	2000	0
2007	1	3	313.201208998125	313.201208998125	30.6847222222222	1	1.5777418358451	532.318388786972	16.5721730576453	425.287844164877	15.2273746446745	NA	NA	2000	0
2008	1	2	302.590879458665	302.590879458665	32.259475308642	1	1.83722605396085	564.541043992592	26.0518876290455	451.560375784038	23.2665590259663	NA	NA	2000	0
2009	1	4	299.054102945512	299.054102945512	31.2900308641975	1	0	586.078462332108	0	455.795290485796	0	NA	NA	2000	0
2010	1	3	359.572278837245	359.572278837245	36.9193209876543	1	0.422564770614616	623.471245302811	4.01436532083885	508.819094869933	4.01436532083885	NA	NA	2000	0
2011	1	3	106.103295394597	106.103295394597	27.9163888888889	1	0.694550905020736	544.65959827274	12.1810474304844	422.65192284573	10.12441983686	NA	NA	2000	0
2012	1	3	174.087999480765	174.087999480765	33.3754320987654	1	0.513689849353336	639.079878906096	2.05475939741335	496.104071543119	2.05475939741335	NA	NA	2000	0
