forest_reserve,plot_id,plottype,period,survey_number,year_dendro,survey_trees,survey_deadw,survey_veg,survey_reg,game_impact_veg,game_impact_reg,data_processed,survey_lis,r_A1,r_A2,r_A3,r_A4,dbh_min_a3,dbh_min_a3_dead,dbh_min_a4,dbh_min_a4_dead,dbh_min_core_area,dbh_min_core_area_dead,diam_min_a4_logs,diam_min_core_area_logs,length_core_area_m,width_core_area_m,core_area_ha
Everzwijnbad,143,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Everzwijnbad,144,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Everzwijnbad,145,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Everzwijnbad,146,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Everzwijnbad,147,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Everzwijnbad,148,CP,1,1,2002,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2.25,4.5,9,18,50,50,400,100,,,100,,,,
Withoefse heide,200,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,204,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,205,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,206,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,207,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,209,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,210,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,211,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,212,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,213,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,214,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,215,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,216,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,217,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,218,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,219,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
Withoefse heide,220,CP,1,1,2000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,20,20,20,20,100,100,400,100,,,100,,,,
