ID,Value1,Value2,Value3,OrderField,Active
435,Glad vingergras,Digitaria ischaemum (Schreb. ex Schweigg,5214,,1
436,Glad walstro,Galium mollugo L.,5650,,1
437,Gladde ereprijs,Veronica polita Fries,8179,,1
438,Gladde iep,Ulmus minor Mill.,8084,,1
439,Gladde witbol,Holcus mollis L.,5863,,1
440,Glansbesnachtschade,Solanum physalifolium Rusby,7721,,1
441,Glanshaver,Arrhenatherum elatius (L.) Beauv. ex J.,4257,,1
442,Glanzend kruiskruid,Senecio squalidus L.,7616,,1
443,Glanzig fonteinkruid,Potamogeton lucens L.,6976,,1
444,Goudgele honingklaver,Melilotus altissimus Thuill.,6352,,1
445,Goudhaver,Trisetum flavescens (L.) Beauv.,8053,,1
446,Goudzuring,Rumex maritimus L.,7340,,1
447,Gras species,Gras species,,,1
448,Grasklokje,Campanula rotundifolia L.,4616,,1
449,Graslathyrus,Lathyrus nissolia L.,6077,,1
450,Grasmuur,Stellaria graminea L.,7828,,1
451,Grauwe abeel,Populus canescens,6954,,1
452,Grauwe els,Alnus incana (L.) Moench,4035,,1
453,Grauwe wilg,Salix 'cinerea' groep,7398,,1
454,Greppelrus,Juncus bufonius L.,5989,,1
455,Grijskruid,Berteroa incana (L.) DC.,4417,,1
456,Grijze mosterd,Hirschfeldia incana (L.) LagrŠze-Fossat,5860,,1
457,Groene amarant,Amaranthus hybridus L.,4079,,1
458,Groene munt,Mentha spicata L.,6378,,1
459,Groene naaldaar,Setaria viridis (L.) Beauv.,7644,,1
460,Groene nachtorchis,Coeloglossum viride (L.) Hartm.,4957,,1
461,Groene wespeorchis,Epipactis phyllanthes G.E. Smith,5386,,1
462,Groenknolorchis,Liparis loeselii (L.) L.C.M. Rich.,6178,,1
463,Grof hoornblad,Ceratophyllum demersum L.,4832,,1
464,Grondster,Illecebrum verticillatum L.,5931,,1
465,Groot blaasjeskruid,Utricularia vulgaris L.,8104,,1
466,Groot bronkruid,Montia fontana L.,6440,,1
467,Groot glaskruid,Parietaria officinalis L.,6690,,1
468,Groot heksenkruid,Circaea lutetiana L.,4916,,1
469,Groot hoefblad,"Petasites hybridus (L.) Gaertn., B. Mey.",6726,,1
470,Groot kaasjeskruid,Malva sylvestris L.,6305,,1
471,Groot koeienoog,Telekia speciosa (Schreb.) Baumg.,7917,,1
472,Groot moerasscherm,Apium nodiflorum (L.) Lag.,4197,,1
473,Groot nimfkruid,Najas marina L.,6481,,1
474,Groot spiegelklokje,Legousia speculum-veneris (L.) Chaix,6094,,1
475,Groot springzaad,Impatiens noli-tangere L.,5936,,1
476,Groot streepzaad,Crepis biennis L.,5072,,1
477,Groot warkruid,Cuscuta europaea L.,5103,,1
478,Grote bevernel,Pimpinella major (L.) Huds.,6816,,1
479,Grote bosaaardbei,Fragaria moschata Weston,5582,,1
480,Grote boterbloem,Ranunculus lingua L.,7128,,1
481,Grote brandnetel,Urtica dioica L.,8094,,1
482,Grote bremraap,Orobanche rapum-genistae Thuill.,6630,,1
483,Grote centaurie,Centaurea scabiosa L.,4796,,1
484,Grote egelskop,Sparganium erectum L.,7776,,1
485,Grote engelwortel,Angelica archangelica L.,4155,,1
486,Grote ereprijs,Veronica persica Poiret,8178,,1
487,Grote kaardenbol,Dipsacus fullonum L.,5240,,1
488,Grote kattenstaart,Lythrum salicaria L.,6279,,1
489,Grote keverorchis,Listera ovata (L.) R. Brown,6184,,1
490,Grote klaproos,Papaver rhoeas L.,6678,,1
491,Grote klit,Arctium lappa L.,4218,,1
492,Grote kroosvaren,Azolla filiculoides Lam.,4385,,1
493,Grote leeuwenbek,Antirrhinum majus L.,4185,,1
494,Grote leeuwenklauw,Aphanes arvensis L.,4192,,1
495,Grote lisdodde,Typha latifolia L.,8075,,1
496,Grote maagdenpalm,Vinca major L.,8227,,1
497,Grote muggeorchis,Gymnadenia conopsea (L.) R. Brown,5756,,1
498,Grote muur,Stellaria holostea L.,7829,,1
499,Grote pimpernel,Sanguisorba officinalis L.,7477,,1
500,Grote ratelaar,Rhinanthus angustifolius C.C. Gmel.,7177,,1
501,Grote stekelnoot,Xanthium orientale L.,8280,,1
502,Grote teunisbloem,Oenothera glazioviana Micheli,6553,,1
503,Grote tijm,Thymus pulegioides L.,7957,,1
504,Grote veldbies,Luzula sylvatica (Huds.) Gaudin,6247,,1
505,Grote vossenstaart,Alopecurus pratensis L.,4042,,1
506,Grote watereppe,Sium latifolium L.,7707,,1
507,Grote waternavel,Hydrocotyle ranunculoides L. f.,5888,,1
508,Grote waterranonkel,Ranunculus peltatus Schrank,7134,,1
509,Grote waterweegbree,Alisma plantago-aquatica L.,4014,,1
510,Grote wederik,Lysimachia vulgaris L.,6275,,1
511,Grote weegbree,Plantago major L.,6849,,1
512,Grote windhalm,Apera spica-venti (L.) Beauv.,4190,,1
513,Grote wolfsklauw,Lycopodium clavatum L.,6258,,1
514,Grote zandkool,Diplotaxis tenuifolia (L.) DC.,5237,,1
515,Grove den,Pinus sylvestris L.,6832,,1
516,Grove varkenskers,Coronopus squamatus (Forssk.) Aschers.,5016,,1
517,Gulden boterbloem,Ranunculus auricomus L.,7114,,1
518,Gulden sleutelbloem,Primula veris L.,7019,,1
519,Haagbeuk,Carpinus betulus L.,4749,,1
520,Haagwinde,Calystegia sepium (L.) R. Brown,4592,,1
521,Haaksterrenkroos,Callitriche hamulata Ktz. ex Koch,4577,,1
522,Haarfonteinkruid,Potamogeton trichoides Cham. et Schlecht,6987,,1
523,Handjesereprijs,Veronica triphyllos L.,8189,,1
524,Hanenpoot,Echinochloa crus-galli (L.) Beauv.,5286,,1
525,Hangende zegge,Carex pendula Huds.,4719,,1
526,Harig knopkruid,Galinsoga quadriradiata Ruiz et Pav.,5637,,1
527,Harig vingergras,Digitaria sanguinalis (L.) Scop.,5215,,1
528,Harig wilgenroosje,Epilobium hirsutum L.,5361,,1
529,Harige ratelaar,Rhinanthus alectorolophus (Scop.) Pollic,7176,,1
530,Harlekijn,Orchis morio L.,6592,,1
531,Hartgespan,Leonurus cardiaca L.,6108,,1
532,Hazelaar,Corylus avellana L.,5025,,1
533,Hazenpootje,Trifolium arvense L.,8005,,1
534,Hazezegge,Carex ovalis Good.,4714,,1
535,Heelbeen,Holosteum umbellatum L.,5866,,1
536,Heelblaadjes,Pulicaria dysenterica (L.) Bernh.,7074,,1
537,Heelkruid,Sanicula europaea L.,7479,,1
538,Heen,Scirpus maritimus L.,7538,,1
539,Heermoes,Equisetum arvense L.,5389,,1
540,Heesterganzerik,Potentilla fruticosa L.,6997,,1
541,Heggendoornzaad,Torilis japonica (Houtt.) DC.,7972,,1
542,Heggenduizendknoop,Fallopia dumetorum (L.) Holub,6917,,1
543,Heggenrank,Bryonia dioica Jacq.,4523,,1
544,Heggenwikke,Vicia sepium L.,8213,,1
545,Heidekartelblad,Pedicularis sylvatica L.,6714,,1
546,Heidespurrie,Spergula morisonii Boreau,7785,,1
547,Heksenmelk,Euphorbia esula L.,5482,,1
548,Helm,Ammophila arenaria (L.) Link,4111,,1
549,Hemelboom,Aillanthus altissima (Mill.) Swingle,3988,,1
550,Hemelsleutel,Sedum telephium L.,7591,,1
551,Hengel,Melampyrum pratense L.,6343,,1
552,Hennegras,Calamagrostis canescens (Weber) Roth,4556,,1
553,Hennepnetel species,Galeopsis species,5632,,1
554,Hennepvreter,Orobanche ramosa L.,6629,,1
555,Herfstadonis,Adonis annua L.,3943,,1
556,Herfstalsem,Artemisia verlotiorum Lamotte,4275,,1
557,Herfstschroeforchis,Spiranthes spiralis (L.) Chevall.,7811,,1
558,Herfsttijloos,Colchicum autumnale L.,4960,,1
559,Herik,Sinapis arvensis L.,7688,,1
560,Hertshoornweegbree,Plantago coronopus L.,6846,,1
561,Hertsmunt,Mentha longifolia L.,6371,,1
562,Hoenderbeet,Lamium amplexicaule L.,6045,,1
563,Hoge cyperzegge,Carex pseudocyperus L.,4723,,1
564,Hoge fijnstraal,Conyza sumatrensis (Retz.) E. Walker,4991,,1
565,Hokjespeul,Astragalus glycyphyllos L.,4333,,1
566,Holpijp,Equisetum fluviatile L.,5390,,1
567,Hommelorchis,Ophrys fuciflora (F.W. Schmidt) Moench,6582,,1
568,Hondsdraf,Glechoma hederacea L.,5723,,1
569,Hondskruid,Anacamptis pyramidalis (L.) L.C.M. Rich.,4118,,1
570,Hondspeterselie,Aethusa cynapium L.,3962,,1
571,Hondsroos,Rosa 'canina' groep,7225,,1
572,Hondstarwegras,Elymus caninus (L.) L.,5343,,1
573,Hondsviooltje,Viola canina L.,8237,,1
574,Hongaars havikskruid,Hieracium bauhinii Schult. ex Besser,5837,,1
575,Hongaarse raket,Sisymbrium altissimum L.,7694,,1
576,Honingorchis,Herminium monorchis (L.) R. Brown,5810,,1
577,Hoog struisgras,Agrostis gigantea Roth,3974,,1
578,Hop,Humulus lupulus L.,5884,,1
579,Hopboom,Ptelea trifoliata L.,7057,,1
580,Hopklaver,Medicago lupulina L.,6327,,1
581,Hulst,Ilex aquifolium L.,5927,,1
582,Hyssop,Hyssopus officinalis L.,5921,,1
583,IJle dravik,Bromus sterilis L.,4519,,1
584,IJle zegge,Carex remota Jusl. ex L.,4727,,1
585,Ijzerhard,Verbena officinalis L.,8149,,1
586,Ingesneden dovenetel,Lamium hybridum Vill.,6047,,1
587,Italiaans raaigras,Lolium multiflorum Lam.,6198,,1
588,Italiaanse aronskelk,Arum italicum Mill.,4280,,1
589,Jakobskruiskruid,Senecio jacobaea L.,7611,,1
590,Japanse duizendknoop,Fallopia japonica (Houtt.) Ronse Decraen,6916,,1
591,Japanse lork,Lariks kaempferi,6060,,1
592,Jeneverbes,Juniperus communis L.,6012,,1
593,Kaal breukkruid,Herniaria glabra L.,5814,,1
594,Kaal knopkruid,Galinsoga parviflora Cav.,5636,,1
595,Kale gierst,Panicum dichotomiflorum Michaux,6661,,1
596,Kale jonker,Cirsium palustre (Huds.) Druce,4925,,1
597,Kale vrouwenmantel,Alchemilla glabra Neygenf.,4003,,1
598,Kalkbedstro,Asperula cynanchica L.,4292,,1
599,Kalketrip,Centaurea calcitrapa L.,4778,,1
600,Kalkwalstro,Galium pumilum Murray,5657,,1
601,Kalmia angustifolia L.,Kalmia angustifolia L.,6014,,1
602,Kalmoes,Acorus calamus L.,3933,,1
603,Kamvaren,Dryopteris cristata (L.) A. Gray,5270,,1
604,Kandelaartje,Saxifraga tridactylites L.,7500,,1
605,Kantig hertshooi,Hypericum dubium Leers,5900,,1
606,Kantige basterdwederik,Epilobium tetragonum L.,5369,,1
607,Karwijselie,Selinum carvifolia (L.) L.,7597,,1
608,Karwijvarkenskervel,Peucedanum carvifolia Vill.,6738,,1
609,Kattedoorn,Ononis spinosa L.,6574,,1
610,Katwilg,Salix viminalis L.,7428,,1
611,Kegelsilene,Silene conica L.,7661,,1
612,Kerspruim,Prunus cerasifera Ehrh.,7030,,1
613,Kievitsbloem,Fritillaria meleagris L.,5595,,1
614,Kikkerbeet,Hydrocharis morsus-ranae L.,5891,,1
615,Klavervreter,Orobanche minor Smith,6626,,1
616,Kleefkruid,Galium aparine L.,5639,,1
617,Klein blaasjeskruid,Utricularia minor L.,8101,,1
618,Klein bronkruid,Montia minor C.C. Gmel.,6439,,1
619,Klein fonteinkruid,Potamogeton berchtoldii Fieb.,6971,,1
620,Klein glaskroos,Elatine hydropiper L.,5318,,1
621,Klein glaskruid,Parietaria judaica L.,6689,,1
622,Klein glidkruid,Scutellaria minor Huds.,7571,,1
623,Klein hoefblad,Tussilago farfara L.,8072,,1
624,Klein kaasjeskruid,Malva neglecta Wallr.,6300,,1
625,Klein kroos,Lemna minor L.,6096,,1
626,Klein kruiskruid,Senecio vulgaris L.,7620,,1
627,Klein liefdegras,Eragrostis minor Host,5404,,1
628,Klein nimfkruid,Najas minor All.,6482,,1
629,Klein robertskruid,Geranium purpureum Vill.,5702,,1
630,Klein slijkgras,Spartina maritima (Curt.) Fernald,7781,,1
631,Klein spiegelklokje,Legousia hybrida (L.) Delarbre,6092,,1
632,Klein springzaad,Impatiens parviflora DC.,5937,,1
633,Klein sterrenkroos,Callitriche palustris L.,4579,,1
634,Klein streepzaad,Crepis capillaris (L.) Wallr.,5073,,1
635,Klein tasjeskruid,Teesdalia nudicaulis (L.) R. Brown,7914,,1
636,Klein timoteegras,Phleum bertolonii DC.,6766,,1
637,Klein vlooiekruid,Pulicaria vulgaris Gaertn.,7076,,1
638,Klein vogelpootje,Ornithopus perpusillus L.,6615,,1
639,Klein warkruid,Cuscuta epithymum (L.) L.,5102,,1
640,Klein wintergroen,Pyrola minor L.,7087,,1
641,Klein zeegras,Zostera noltii Hornem.,8301,,1
642,Kleine bevernel,Pimpinella saxifraga L.,6820,,1
643,Kleine biesvaren,Isoetes echinospora Durieu,5964,,1
644,Kleine brandnetel,Urtica urens L.,8097,,1
645,Kleine duizendknoop,Polygonum minus Huds.,6925,,1
646,Kleine egelskop,Sparganium emersum Rehm.,7774,,1
647,Kleine kaardenbol,Dipsacus pilosus L.,5242,,1
648,Kleine klaver,Trifolium dubium Sibth.,8011,,1
649,Kleine klit,Arctium minus (Hill) Bernh.,4219,,1
650,Kleine leeuwenbek,Chaenorrhinum minus (L.) Lange,4841,,1
651,Kleine leeuwenklauw,Aphanes inexspectata W. Lippert,4193,,1
652,Kleine leeuwentand,Leontodon saxatilis Lam.,6106,,1
653,Kleine lisdodde,Typha angustifolia L.,8074,,1
654,Kleine maagdenpalm,Vinca minor L.,8228,,1
655,Kleine maanvaren,Botrychium simplex Hitchc.,4462,,1
656,Kleine majer,Amaranthus blitum L.,4068,,1
657,Kleine ooievaarsbek,Geranium pusillum L.,5703,,1
658,Kleine pimpernel,Sanguisorba minor Scop.,7474,,1
659,Kleine ratelaar,Rhinanthus minor L.,7178,,1
660,Kleine roos,Rosa micrantha Borrer ex Smith,7236,,1
661,Kleine ruit,Thalictrum minus L.,7931,,1
662,Kleine rupsklaver,Medicago minima (L.) L.,6329,,1
663,Kleine schorseneer,Scorzonera humilis L.,7557,,1
664,Kleine steentijm,Acinos arvensis (Lam.) Dandy,7488,,1
665,Kleine teunisbloem,Oenothera parviflora L.,6555,,1
666,Kleine valeriaan,Valeriana dioica L.,8121,,1
667,Kleine varkenskers,Coronopus didymus (L.) Smith,5014,,1
668,Kleine veenbes,Vaccinium oxycoccos L.,6653,,1
669,Kleine veldkers,Cardamine hirsuta L.,4639,,1
670,Kleine watereppe,Berula erecta (Huds.) Coville,4419,,1
671,Kleine waterranonkel,Ranunculus trichophyllus Chaix,7107,,1
672,Kleine wolfsklauw,Diphasiastrum tristachyum (Pursh) Holub,6264,,1
673,Kleine wolfsmelk,Euphorbia exigua L.,5484,,1
674,Kleine zandkool,Diplotaxis muralis (L.) DC.,5235,,1
675,Kleine zonnedauw,Drosera intermedia Hayne,5261,,1
676,Kleinste egelskop,Sparganium natans L.,7777,,1
677,Kleverig kruiskruid,Senecio viscosus L.,7619,,1
678,Kleverige ogentroost,Parentucellia viscosa (L.) Caruel,6688,,1
679,Kleverige reigersbek,Erodium lebelii Jord.,5436,,1
680,Klimop,Hedera helix L.,5770,,1
681,Klimopbremraap,Orobanche hederae Duby,6624,,1
682,Klimopereprijs,Veronica hederifolia L.,8170,,1
683,Klimopklokje,Wahlenbergia hederacea (L.) Reichenb.,8269,,1
684,Klimopwaterranonkel,Ranunculus hederaceus L.,7126,,1
685,Klokjesgentiaan,Gentiana pneumonanthe L.,5683,,1
686,Kluwenhoornbloem,Cerastium glomeratum Thuill.,4824,,1
687,Kluwenzuring,Rumex conglomeratus Murray,7335,,1
688,Knikkend nagelkruid,Geum rivale L.,5715,,1
689,Knikkend tandzaad,Bidens cernua L.,4432,,1
690,Knikkende distel,Carduus nutans L.,4658,,1
691,Knolbeemdgras,Poa bulbosa L.,6866,,1
692,Knolboterbloem,Ranunculus bulbosus L.,7117,,1
693,Knolcyperus,Cyperus esculentus L.,5129,,1
694,Knollathyrus,Lathyrus linifolius (Reichard) B„ssler,6073,,1
695,Knolrus,Juncus bulbosus L.,5991,,1
696,Knolsteenbreek,Saxifraga granulata L.,7495,,1
697,Knolvossenstaart,Alopecurus bulbosus Gouan,4039,,1
698,Knoopkruid,Centaurea L. subgenus Jacea,4785,,1
699,Knopbies,Schoenus nigricans L.,7516,,1
700,Knopherik,Raphanus raphanistrum L.,7146,,1
701,Knopig doornzaad,Torilis nodosa (L.) Gaertn.,7974,,1
702,Knopig helmkruid,Scrophularia nodosa L.,7560,,1
703,Koekruid,Vaccaria hispanica (Mill.) Rauschert,8105,,1
704,Kogelbies,Scirpus holoschoenus L.,7533,,1
705,Kokardebloem,Gaillardia x grandiflora Van Houtte,5616,,1
706,Kompassla,Lactuca serriola L.,6035,,1
707,Koninginnenkruid,Eupatorium cannabinum L.,5470,,1
708,Koningskaars,Verbascum thapsus L.,8141,,1
709,Koningsvaren,Osmunda regalis L.,6638,,1
710,Koprus,Juncus capitatus Weigel,5993,,1
711,Koraalmeidoorn,Crataegus rhipidophylla Gandoger,5069,,1
712,Korenbloem,Centaurea cyanus L.,4779,,1
713,Korenschijnspurrie,Delia segetalis (L.) Dum.,7792,,1
714,Korensla,Arnoseris minima (L.) Schweigg. et K”rte,4250,,1
715,Korrelganzenvoet,Chenopodium polyspermum L.,4879,,1
716,Kraagroos,Rosa agrestis Savi,7217,,1
717,Kraailook,Allium vineale L.,4032,,1
718,Kraakwilg,Salix 'fragilis' groep,7410,,1
719,Krabbescheer,Stratiotes aloides L.,7848,,1
720,Kranskarwij,Carum verticillatum (L.) Koch,4757,,1
721,Kransmuur,Polycarpon tetraphyllum (L.) L.,6884,,1
722,Kransnaaldaar,Setaria verticillata (L.) Beauv.,7642,,1
723,Kranssalie,Salvia verticillata L.,7460,,1
724,Kransvederkruid,Myriophyllum verticillatum L.,6478,,1
725,Kromhals,Anchusa arvensis (L.) Bieb.,4134,,1
726,Kroontjeskruid,Euphorbia helioscopia L.,5487,,1
727,Kruidvlier,Sambucus ebulus L.,7465,,1
728,Kruipbrem,Genista pilosa L.,5678,,1
729,Kruipend moerasscherm,Apium repens (Jacq.) Lag.,4198,,1
730,Kruipend stalkruid,Ononis repens L.,6573,,1
731,Kruipend zenegroen,Ajuga reptans L.,3998,,1
732,Kruipende boterbloem,Ranunculus repens L.,7138,,1
733,Kruipertje,Hordeum murinum L.,5875,,1
734,Kruipganzerik,Potentilla anglica Laichard.,6993,,1
735,Kruipwilg,Salix repens L.,7419,,1
736,Kruisbes,Ribes uva-crispa L.,7199,,1
737,Kruisbladige wolfsmelk,Euphorbia lathyrus L.,5490,,1
738,Kruisbladwalstro,Cruciata laevipes Opiz,5089,,1
739,Kruismuur,"Moenchia erecta (L.) Gaertn., B. Mey. et",6422,,1
740,Kruldistel,Carduus crispus L.,4654,,1
741,Krulzuring,Rumex crispus L.,7336,,1
742,Kuifhyacint,Muscari comosum (L.) Mill.,6451,,1
743,Kuifvleugeltjesbloem,Polygala comosa Schkuhr,6896,,1
744,Kustmelde,Atriplex glabriuscula Edmondst.,4342,,1
745,Kweek,Elymus repens (L.) Gould.,5345,,1
746,Kweekdravik,Bromus inermis Leyss.,4500,,1
747,Kwelderzegge,Carex extensa Good.,4691,,1
748,Kwispelgerst,Hordeum jubatum L.,5872,,1
749,Laksteeltje,Catapodium marinum (L.) C.E. Hubbard,5197,,1
750,Lamsoor,Limonium vulgare Mill.,6150,,1
751,Lancetbladige basterdwederik,Epilobium lanceolatum Seb. et Mauri,5362,,1
752,Lange ereprijs,Veronica longifolia L.,8173,,1
753,Lange zonnedauw,Drosera longifolia L.,5262,,1
754,Langgenaald langbaardgras,Vulpia membranacea (L.) Dum.,8266,,1
755,Langstengelig fonteinkruid,Potamogeton praelongus Wulfen,6984,,1
756,Late guldenroede,Solidago gigantea Ait.,7740,,1
757,Lathyruswikke,Vicia lathyroides L.,8203,,1
758,Laurierwilg,Salix pentandra L.,7414,,1
759,Lavendelhei,Andromeda polifolia L.,4139,,1
760,Lelietje-van-dalen,Convallaria majalis L.,4982,,1
761,Lenteklokje,Leucojum vernum L.,6132,,1
762,Lepidium heterophyllum Benth.,Lepidium heterophyllum Benth.,6115,,1
763,Lidrus,Equisetum palustre L.,5392,,1
764,Lidsteng,Hippuris vulgaris L.,5859,,1
765,Liesgras,Glyceria maxima (Hartm.) Holmberg,5729,,1
766,Lievevrouwebedstro,Galium odoratum (L.) Scop.,5651,,1
767,Liggend bergvlas,Thesium humifusum DC.,7938,,1
768,Liggend hertshooi,Hypericum humifusum L.,5904,,1
769,Liggend walstro,Galium saxatile L.,5659,,1
770,Liggende ganzerik,Potentilla supina L.,7011,,1
771,Liggende klaver,Trifolium campestre Schreb.,8008,,1
772,Liggende leeuwenbek,Linaria supina (L.) Chazelles,6165,,1
773,Liggende majer,Amaranthus deflexus L.,4075,,1
774,Liggende vetmuur,Sagina procumbens L.,7375,,1
775,Liggende vleugeltjesbloem,Polygala serpyllifolia Hose,6899,,1
776,Lijsterbes (Wilde),Sorbus aucuparia L.,7760,,1
777,Lonicera nitida Wils.,Lonicera nitida Wils.,6209,,1
778,Loogkruid,Salsola kali L.,7449,,1
779,Look-zonder-look,Alliaria petiolata (Bieb.) Cavara et Gra,4016,,1
780,Loos blaasjeskruid,Utricularia australis R. Brown,8099,,1
781,Lork species,Lariks species,6061,,1
782,Luzerne,Medicago sativa L.,6335,,1
783,Maarts viooltje,Viola odorata L.,8245,,1
784,Madelieffiijnstraal,Erigeron annuus (L.) Desf.,5420,,1
785,Madeliefje,Bellis perennis L.,4408,,1
786,Mahonia,Mahonia aquifolium (Pursh) Nutt.,6284,,1
787,Malrove,Marrubium vulgare L.,6312,,1
788,Mannagras,Glyceria fluitans (L.) R. Brown,5728,,1
789,Mannetjesereprijs,Veronica officinalis L.,8175,,1
790,Mannetjesorchis,Orchis mascula (L.) L.,6590,,1
791,Mannetjesvaren,Dryopteris filix-mas (L.) Schott,5275,,1
792,Mantelanjer,Petrorhagia prolifera (L.) P.W. Ball et,6731,,1
793,Maretak,Viscum album L.,8255,,1
794,Margriet,Leucanthemum vulgare Lam.,6126,,1
795,Mattenbies,Scirpus lacustris L.,7536,,1
796,Meidoorn species,Crataegus species,5070,,1
797,Melganzenvoet,Chenopodium album L.,4859,,1
798,Melige toorts,Verbascum lychnitis L.,8135,,1
799,Melkeppe,Peucedanum palustre (L.) Moench,6745,,1
800,Melkkruid,Glaux maritima L.,5721,,1
801,Melkviooltje,Viola lactea Smith,8243,,1
802,Middelste ganzerik,Potentilla intermedia L.,6999,,1
803,Middelste klit,Arctium pubens Bab.,4222,,1
804,Middelste teunisbloem,Oenothera biennis L.,6551,,1
805,Mierikswortel,"Armoracia rusticana Gaertn., B. Mey. et",4246,,1
806,Mispel,Mespilus germanica L.,6399,,1
807,Moederkruid,Tanacetum parthenium (L.) Schultz-Bip.,7885,,1
808,Moerasandijvie,Senecio congestus (R. Brown) DC.,7605,,1
809,Moerasandoorn,Stachys palustris L.,7821,,1
810,Moerasbasterdwederik,Epilobium palustre L.,5365,,1
811,Moerasbeemdgras,Poa palustris L.,6872,,1
812,Moerasdroogbloem,Gnaphalium uliginosum L.,5741,,1
813,Moeraseik,Quercus palustris L.,7097,,1
814,Moerasgamander,Teucrium scordium L.,7925,,1
815,Moerashertshooi,Hypericum elodes L.,5901,,1
816,Moeraskartelblad,Pedicularis palustris L.,6712,,1
817,Moeraskers,Rorippa palustris (L.) Besser,7212,,1
818,Moeraskruiskruid,Senecio paludosus L.,7613,,1
819,Moeraslathyrus,Lathyrus palustris L.,6079,,1
820,Moerasmelkdistel,Sonchus palustris L.,7751,,1
821,Moerasmuur,Stellaria alsine Grimm,7840,,1
822,Moerasooievaarsbek,Geranium palustre L.,5699,,1
823,Moerasorchis,Orchis palustris Jacq.,6593,,1
824,Moeraspaardebloem,Taraxacum Wiggers sectie Palustria (Lind,7900,,1
825,Moerasrolklaver,Lotus pedunculatus Cav.,6223,,1
826,Moerassmele,Deschampsia setacea (Huds.) Hack.,5193,,1
827,Moerasspirea,Filipendula ulmaria (L.) Maxim.,5574,,1
828,Moerasstreepzaad,Crepis paludosa (L.) Moench,5076,,1
829,Moerasstruisgras,Agrostis canina L.,3971,,1
830,Moerasvaren,Thelypteris palustris Schott,7934,,1
831,Moerasvergeet-mij-nietje,Myosotis scorpioides L.,6462,,1
832,Moerasviooltje,Viola palustris L.,8246,,1
833,Moeraswalstro,Galium palustre L.,5652,,1
834,Moeraswederik,Lysimachia thyrsiflora L.,6274,,1
835,Moerasweegbree,Baldellia ranunculoides (L.) Parl.,4389,,1
836,Moeraswespeorchis,Epipactis palustris (L.) Crantz,5385,,1
837,Moeraswolfsklauw,Lycopodiella inundata (L.) Holub,6260,,1
838,Moeraszegge,Carex acutiformis Ehrh.,4662,,1
839,Moeraszoutgras,Triglochin palustre L.,8046,,1
840,Moeraszuring,Rumex palustris Smith,7345,,1
841,Moesdistel,Cirsium oleraceum (L.) Scop.,4924,,1
842,Moeslook,Allium oleraceum L.,4022,,1
843,Mosbloempje,Crassula tillaea Lester-Garland,5060,,1
844,Mottekruid,Verbascum blattaria L.,8131,,1
845,Muisdoorn,Ruscus aculeatus L.,7364,,1
846,Muizenoor,Hieracium pilosella L.,5839,,1
847,Muizenstaart,Myosurus minimus L.,6469,,1
848,Muskuskaasjeskruid,Malva moschata L.,6299,,1
849,Muskuskruid,Adoxa moschatellina L.,3946,,1
850,Muurbloem,Erysimum cheiri (L.) Crantz,5461,,1
851,Muurbloemmosterd,Coincya monensis (L.) Greuter et Burdet,4958,,1
852,Muurduivekervel,Fumaria muralis Sond. ex Koch,5602,,1
853,Muurfijnstraal,Erigeron karvinskianus DC.,5422,,1
854,Muurganzenvoet,Chenopodium murale L.,4877,,1
855,Muurhavikskruid,Hieracium murorum L.,5836,,1
856,Muurleeuwenbek,"Cymbalaria muralis Gaertn., B. Mey. et S",5114,,1
857,Muurpeper,Sedum acre L.,7575,,1
858,Muursla,Mycelis muralis (L.) Dum.,6454,,1
859,Muurvaren,Asplenium ruta-muraria L.,4303,,1
860,Naakte lathyrus,Lathyrus aphaca L.,6069,,1
861,Naaldekervel,Scandix pecten-veneris L.,7509,,1
862,Naaldwaterbies,Eleocharis acicularis (L.) Roem. et Schu,5321,,1
863,Nachtkoekoeksbloem,Silene noctiflora L.,7668,,1
864,Nachtsilene,Silene nutans L.,7670,,1
865,Nerfamarant,Amarathus blitoides S. Watson,4067,,1
866,Noordse streepvaren,Asplenium septentrionale (L.) Hoffmann,4305,,1
867,Noorse esdoorn,Acer platanoides L.,3913,,1
868,Noorse ganzerik,Potentilla norvegica L.,7003,,1
869,Oenothera deflexa Gates,Oenothera deflexa Gates,6552,,1
870,Oeverdistel,Cirsium rivulare (Jacq.) All.,4926,,1
871,Oeverkruid,Littorella uniflora (L.) Aschers.,6190,,1
872,Oeverzegge,Carex riparia Curt.,4728,,1
873,Onbekend loofhout,Loofhout species,,,1
874,Onbekend naaldhout,Naaldhout species,,,1
875,Onbekende boomsoort,Onbekende boomsoort,,,1
876,Onbekende kruidsoort,Kruidsoort species,,,1
877,Onderaardse klaver,Trifolium subterraneum L.,8042,,1
878,Ondergedoken moerasscherm,Apium inundatum (L.) Reichenb. f.,4196,,1
879,Ongelijkbladig fonteinkruid,Potamogeton gramineus L.,6975,,1
880,Oostenrijkse en Pyreneese raket,Sisymbrium austriacum Jacq.,7695,,1
881,Oostenrijkse kers,Rorippa austriaca (Crantz) Besser,7208,,1
882,Oosterse karmozijnbes,Phytolacca esculenta Van Houtte,6802,,1
883,Oosterse raket,Sisymbrium orientale L.,7700,,1
884,Oot,Avena fatua L.,4370,,1
885,Opstijgende steentijm,Calamintha ascendens Jord.,4551,,1
886,Oranje havikskruid,Hieracium aurantiacum L.,5826,,1
