plot_id	year	period	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc
521	2003	1	1	628.760269005019	628.760269005019	NA
522	2003	1	3	4558.51195028639	4558.51195028639	NA
701	2003	1	7	71521.4805993209	71521.4805993209	NA
702	2003	1	3	1414.71060526129	1414.71060526129	NA
703	2003	1	1	1257.52053801004	1257.52053801004	NA
704	2003	1	3	628.760269005019	628.760269005019	NA
705	2003	1	3	3143.80134502509	3143.80134502509	NA
706	2003	1	6	9588.59410232653	9588.59410232653	NA
708	2003	1	3	2043.47087426631	2043.47087426631	NA
709	2003	1	4	69478.0097250546	69478.0097250546	NA
710	2003	1	3	1257.52053801004	1257.52053801004	NA
711	2003	1	2	1571.90067251255	1571.90067251255	NA
712	2003	1	1	157.190067251255	157.190067251255	NA
713	2003	1	4	7545.12322806022	7545.12322806022	NA
714	2003	1	5	2043.47087426631	2043.47087426631	NA
715	2003	1	5	5816.03248829642	5816.03248829642	NA
716	2003	1	2	2829.42121052258	2829.42121052258	NA
717	2003	1	5	3772.56161403011	3772.56161403011	NA
718	2003	1	2	12575.2053801004	12575.2053801004	NA
719	2003	1	2	471.570201753764	471.570201753764	NA
720	2003	1	3	7073.55302630646	7073.55302630646	NA
721	2003	1	2	314.380134502509	314.380134502509	NA
722	2003	1	3	17290.907397638	17290.907397638	NA
723	2003	1	4	2043.47087426631	2043.47087426631	NA
724	2003	1	2	1100.33047075878	1100.33047075878	NA
725	2003	1	2	7545.12322806022	7545.12322806022	NA
726	2003	1	2	5030.08215204015	5030.08215204015	NA
727	2003	1	2	1729.0907397638	1729.0907397638	NA
728	2003	1	1	785.950336256273	785.950336256273	NA
729	2003	1	4	1414.71060526129	1414.71060526129	NA
730	2003	1	1	314.380134502509	314.380134502509	NA
731	2003	1	2	471.570201753764	471.570201753764	NA
732	2003	1	2	1729.0907397638	1729.0907397638	NA
733	2003	1	5	1571.90067251255	1571.90067251255	NA
734	2003	1	1	157.190067251255	157.190067251255	NA
735	2003	1	3	1100.33047075878	1100.33047075878	NA
736	2003	1	1	157.190067251255	157.190067251255	NA
737	2003	1	1	628.760269005019	628.760269005019	NA
738	2003	1	5	20277.5186754119	20277.5186754119	NA
739	2003	1	2	62876.0269005019	62876.0269005019	NA
740	2003	1	3	1571.90067251255	1571.90067251255	NA
741	2003	1	1	471.570201753764	471.570201753764	NA
745	2003	1	2	1100.33047075878	1100.33047075878	NA
746	2003	1	4	2200.66094151757	2200.66094151757	NA
747	2003	1	2	2986.61127777384	2986.61127777384	NA
748	2003	1	2	943.140403507528	943.140403507528	NA
749	2003	1	2	628.760269005019	628.760269005019	NA
750	2003	1	4	2043.47087426631	2043.47087426631	NA
751	2003	1	2	2200.66094151757	2200.66094151757	NA
752	2003	1	2	1571.90067251255	1571.90067251255	NA
753	2003	1	1	471.570201753764	471.570201753764	NA
754	2003	1	1	3458.1814795276	3458.1814795276	NA
755	2003	1	3	11160.4947748391	11160.4947748391	NA
756	2003	1	2	471.570201753764	471.570201753764	NA
757	2003	1	1	157.190067251255	157.190067251255	NA
759	2003	1	1	157.190067251255	157.190067251255	NA
