plot_id	year	period	decaystage	volume_log_m3_ha	forest_reserve
751	2003	1	13	0.456096804508719	Heirnisse
752	2003	1	13	0.893124488984019	Heirnisse
754	2003	1	12	2.67851874596138	Heirnisse
754	2003	1	13	21.0450974225581	Heirnisse
754	2003	1	14	21.5808699424048	Heirnisse
754	2003	1	15	0.677479365473704	Heirnisse
755	2003	1	13	2.2661011313901	Heirnisse
755	2003	1	14	4.88985878767283	Heirnisse
756	2003	1	10	2.36578910716501	Heirnisse
756	2003	1	14	5.28164520591738	Heirnisse
756	2003	1	15	1.84828010825707	Heirnisse
757	2003	1	14	4.89246224816168	Heirnisse
758	2003	1	13	0.596732792802576	Heirnisse
758	2003	1	14	1.11691402285379	Heirnisse
759	2003	1	10	2.70506421856844	Heirnisse
761	2003	1	13	4.45877485261546	Heirnisse
761	2003	1	14	4.37758618288019	Heirnisse
762	2003	1	13	1.27584300522401	Heirnisse
762	2003	1	14	12.3713495116339	Heirnisse
764	2003	1	13	10.9961525595279	Heirnisse
764	2003	1	14	28.1858099050977	Heirnisse
764	2003	1	15	6.41864025986251	Heirnisse
765	2003	1	10	36.423758178947	Heirnisse
765	2003	1	13	52.1337362995847	Heirnisse
765	2003	1	14	22.9417527740118	Heirnisse
765	2003	1	15	6.46546325114498	Heirnisse
767	2003	1	12	0.621558999049071	Heirnisse
767	2003	1	13	10.6729206593633	Heirnisse
767	2003	1	14	13.7143617974702	Heirnisse
768	2003	1	13	30.8516650262661	Heirnisse
768	2003	1	14	7.29904217777838	Heirnisse
768	2003	1	15	0.399970126120818	Heirnisse
823	2003	1	11	0.430327457858716	Jansheideberg
823	2003	1	12	2.44002211642441	Jansheideberg
803	2004	1	10	15.300488171069	Jansheideberg
805	2004	1	12	0.532520650330438	Jansheideberg
806	2004	1	11	0.190681375954975	Jansheideberg
806	2004	1	12	1.09431795068642	Jansheideberg
806	2004	1	13	0.348745812955315	Jansheideberg
807	2004	1	14	0.0847549193860359	Jansheideberg
808	2004	1	0	4.25660877737194	Jansheideberg
808	2004	1	14	0.223435856218455	Jansheideberg
809	2004	1	10	11.2242353471095	Jansheideberg
809	2004	1	12	0.246817878722079	Jansheideberg
809	2004	1	13	0.777756804000802	Jansheideberg
810	2004	1	13	0.665660637292251	Jansheideberg
811	2004	1	12	0.143779789638882	Jansheideberg
812	2004	1	11	0.630970754325739	Jansheideberg
812	2004	1	13	2.54530016396594	Jansheideberg
812	2004	1	14	0.969685876114584	Jansheideberg
813	2004	1	10	1.24601618996309	Jansheideberg
813	2004	1	13	5.83192833384721	Jansheideberg
814	2004	1	10	1.30853853921227	Jansheideberg
814	2004	1	12	0.995877671070324	Jansheideberg
815	2004	1	11	0.37127311446826	Jansheideberg
815	2004	1	12	2.40602976438133	Jansheideberg
815	2004	1	13	1.9811941344972	Jansheideberg
815	2004	1	14	0.432813025797126	Jansheideberg
816	2004	1	11	0.286744155803898	Jansheideberg
816	2004	1	13	4.36295768224662	Jansheideberg
817	2004	1	13	0.19891420572726	Jansheideberg
818	2004	1	10	0.461598456862513	Jansheideberg
818	2004	1	13	3.35227467171707	Jansheideberg
819	2004	1	10	20.3979655644431	Jansheideberg
819	2004	1	13	3.12414276223948	Jansheideberg
820	2004	1	12	0.641954410274921	Jansheideberg
820	2004	1	13	4.99482245507985	Jansheideberg
821	2004	1	13	0.674365037266289	Jansheideberg
822	2004	1	11	0.30778797605716	Jansheideberg
822	2004	1	12	1.85668977685501	Jansheideberg
822	2004	1	13	1.71444259037183	Jansheideberg
822	2004	1	14	0.708573525651843	Jansheideberg
824	2004	1	12	5.56435154186876	Jansheideberg
824	2004	1	13	1.31648646198766	Jansheideberg
824	2004	1	14	0.463563332703153	Jansheideberg
825	2004	1	13	3.31791881764347	Jansheideberg
825	2004	1	14	0.515524474308896	Jansheideberg
827	2004	1	12	1.73042685533544	Jansheideberg
828	2004	1	12	0.453011949438913	Jansheideberg
829	2004	1	10	2.62022087976957	Jansheideberg
829	2004	1	11	4.74641302692685	Jansheideberg
829	2004	1	12	1.22761512771549	Jansheideberg
829	2004	1	13	3.60713871700657	Jansheideberg
829	2004	1	14	4.24741315843775	Jansheideberg
829	2004	1	15	0.786372784562011	Jansheideberg
830	2004	1	11	1.2046457291384	Jansheideberg
830	2004	1	12	1.02663780235555	Jansheideberg
833	2004	1	10	4.1865413048947	Jansheideberg
833	2004	1	12	3.81065073220093	Jansheideberg
833	2004	1	13	14.8224633521787	Jansheideberg
833	2004	1	14	3.04864240806286	Jansheideberg
842	2004	1	11	0.944447045941554	Bos Terrijst
842	2004	1	12	15.9614134575853	Bos Terrijst
843	2004	1	12	1.28741612392539	Bos Terrijst
843	2004	1	13	10.0313002779813	Bos Terrijst
843	2004	1	14	10.5483180579291	Bos Terrijst
844	2004	1	12	0.730354174345345	Bos Terrijst
844	2004	1	13	1.63337181318699	Bos Terrijst
845	2004	1	11	0.249932206929495	Bos Terrijst
845	2004	1	12	2.43281102208926	Bos Terrijst
845	2004	1	13	1.80416864563468	Bos Terrijst
845	2004	1	14	11.3817692676328	Bos Terrijst
846	2004	1	12	0.3496201827044	Bos Terrijst
846	2004	1	13	3.13666884572357	Bos Terrijst
846	2004	1	14	21.3625918852681	Bos Terrijst
847	2004	1	10	11.3950518283156	Bos Terrijst
847	2004	1	11	1.24447376242818	Bos Terrijst
847	2004	1	12	0.234272146479589	Bos Terrijst
847	2004	1	13	0.472375800848427	Bos Terrijst
847	2004	1	14	1.08656651549509	Bos Terrijst
848	2004	1	13	5.73478487228593	Bos Terrijst
848	2004	1	14	17.5445335711479	Bos Terrijst
849	2004	1	12	2.42673955574168	Bos Terrijst
849	2004	1	13	4.87710674346707	Bos Terrijst
850	2004	1	10	2.35129814784028	Bos Terrijst
850	2004	1	11	1.21811495302599	Bos Terrijst
850	2004	1	12	21.3418624451493	Bos Terrijst
850	2004	1	13	11.4976085228178	Bos Terrijst
850	2004	1	14	0.85650902769368	Bos Terrijst
851	2004	1	10	0.185837957007796	Bos Terrijst
851	2004	1	13	0.932254991350379	Bos Terrijst
852	2004	1	14	8.92163664697946	Bos Terrijst
853	2004	1	12	0.44364931605826	Bos Terrijst
853	2004	1	13	6.20970518734799	Bos Terrijst
853	2004	1	14	44.0383692411115	Bos Terrijst
854	2004	1	12	4.35234735270716	Bos Terrijst
854	2004	1	13	2.14779595702513	Bos Terrijst
855	2004	1	12	3.93928132910847	Bos Terrijst
855	2004	1	13	17.5180077472993	Bos Terrijst
855	2004	1	14	0.468033425240611	Bos Terrijst
856	2004	1	12	2.22758956491355	Bos Terrijst
856	2004	1	13	11.5911857347283	Bos Terrijst
856	2004	1	14	16.5478011790869	Bos Terrijst
856	2004	1	15	8.63113957831994	Bos Terrijst
857	2004	1	12	1.41335484093125	Bos Terrijst
857	2004	1	13	0.884223601425917	Bos Terrijst
858	2004	1	10	0.990562681921391	Bos Terrijst
858	2004	1	12	1.27107818131046	Bos Terrijst
858	2004	1	14	3.79862569205621	Bos Terrijst
859	2004	1	12	0.464820853241163	Bos Terrijst
859	2004	1	13	49.1216307577786	Bos Terrijst
860	2004	1	14	0.315450991835659	Bos Terrijst
861	2004	1	12	4.3503038818329	Bos Terrijst
861	2004	1	13	1.41142926260742	Bos Terrijst
861	2004	1	14	0.561345378912637	Bos Terrijst
862	2004	1	12	0.0899520159845305	Bos Terrijst
863	2004	1	12	0.364513941576456	Bos Terrijst
863	2004	1	13	7.66934267870553	Bos Terrijst
863	2004	1	14	1.41986840434297	Bos Terrijst
864	2004	1	12	9.8488517317986	Bos Terrijst
864	2004	1	13	1.07684038008392	Bos Terrijst
865	2004	1	10	7.43103271237342	Bos Terrijst
865	2004	1	12	5.26860825471473	Bos Terrijst
865	2004	1	13	1.13404774018418	Bos Terrijst
865	2004	1	14	0.45671574039852	Bos Terrijst
866	2004	1	12	0.283944207730985	Bos Terrijst
866	2004	1	13	6.4106235664327	Bos Terrijst
866	2004	1	14	1.15047410221193	Bos Terrijst
867	2004	1	11	4.39500480720747	Bos Terrijst
867	2004	1	12	6.70017749468871	Bos Terrijst
867	2004	1	13	0.27929727636787	Bos Terrijst
868	2004	1	11	2.06388593425057	Bos Terrijst
868	2004	1	13	6.75371053696697	Bos Terrijst
869	2004	1	12	9.2391802315854	Bos Terrijst
869	2004	1	13	24.5675598152123	Bos Terrijst
870	2004	1	10	0.211803791241862	Bos Terrijst
870	2004	1	12	3.72998275456343	Bos Terrijst
870	2004	1	13	13.0578378328369	Bos Terrijst
870	2004	1	14	4.5245294226225	Bos Terrijst
871	2004	1	12	3.46238631382657	Bos Terrijst
871	2004	1	13	0.719606303497041	Bos Terrijst
871	2004	1	14	1.52091214444792	Bos Terrijst
872	2004	1	12	1.16312790262566	Bos Terrijst
872	2004	1	13	13.362187276173	Bos Terrijst
872	2004	1	14	2.25741638017447	Bos Terrijst
873	2004	1	12	4.13081742605413	Bos Terrijst
873	2004	1	13	18.7036629514379	Bos Terrijst
873	2004	1	14	1.56996526980952	Bos Terrijst
874	2004	1	11	2.69601596532229	Bos Terrijst
874	2004	1	12	0.429521858764053	Bos Terrijst
874	2004	1	13	3.36396568296888	Bos Terrijst
875	2004	1	11	7.53635988181097	Bos Terrijst
875	2004	1	12	2.94248999077225	Bos Terrijst
875	2004	1	13	2.63785564043932	Bos Terrijst
875	2004	1	14	4.35318242493943	Bos Terrijst
876	2004	1	12	0.28635118063577	Bos Terrijst
876	2004	1	13	2.25672867363025	Bos Terrijst
877	2004	1	11	1.64232182264111	Bos Terrijst
877	2004	1	12	5.30822997604124	Bos Terrijst
877	2004	1	13	5.05104737725978	Bos Terrijst
878	2004	1	12	4.23087872823875	Bos Terrijst
879	2004	1	12	16.5137891782854	Bos Terrijst
879	2004	1	13	6.28848688417848	Bos Terrijst
880	2004	1	12	11.0443018420028	Bos Terrijst
880	2004	1	14	0.262949509373739	Bos Terrijst
881	2004	1	10	6.13323221963025	Bos Terrijst
881	2004	1	12	2.44013018459565	Bos Terrijst
881	2004	1	13	18.968999784958	Bos Terrijst
881	2004	1	14	18.6059791490204	Bos Terrijst
881	2004	1	15	0.732987107971804	Bos Terrijst
882	2004	1	12	1.00143826969934	Bos Terrijst
882	2004	1	13	0.837479205177075	Bos Terrijst
882	2004	1	14	1.91758127915646	Bos Terrijst
883	2004	1	10	1.01105633693927	Bos Terrijst
883	2004	1	11	0.636374162887501	Bos Terrijst
883	2004	1	12	20.0971332488618	Bos Terrijst
883	2004	1	13	5.39460591799581	Bos Terrijst
883	2004	1	14	9.21474700050704	Bos Terrijst
884	2004	1	12	9.03193495229383	Bos Terrijst
884	2004	1	13	5.49477528835167	Bos Terrijst
885	2004	1	10	0.609809041522039	Bos Terrijst
885	2004	1	12	0.602018308813899	Bos Terrijst
885	2004	1	13	12.5489546388694	Bos Terrijst
885	2004	1	14	5.79298449468571	Bos Terrijst
886	2004	1	12	0.458100977866172	Bos Terrijst
886	2004	1	13	2.39227563349684	Bos Terrijst
887	2004	1	12	0.918707172429161	Bos Terrijst
887	2004	1	13	3.59358107370615	Bos Terrijst
887	2004	1	14	2.22313912113449	Bos Terrijst
888	2004	1	11	0.268058186559405	Bos Terrijst
888	2004	1	12	1.06431429659984	Bos Terrijst
888	2004	1	13	2.86661631018591	Bos Terrijst
889	2004	1	12	0.77180323020366	Bos Terrijst
889	2004	1	13	7.34856687334173	Bos Terrijst
890	2004	1	11	0.318987768348812	Bos Terrijst
890	2004	1	12	1.784893213638	Bos Terrijst
890	2004	1	13	3.10385541918487	Bos Terrijst
901	2005	1	13	6.01732419379086	Pruikemakers
901	2005	1	14	10.4249828014121	Pruikemakers
902	2005	1	10	3.72555195954278	Pruikemakers
902	2005	1	11	4.17906495232106	Pruikemakers
902	2005	1	13	70.4938505346658	Pruikemakers
904	2005	1	12	0.335345359722145	Pruikemakers
904	2005	1	13	1.53267192635416	Pruikemakers
905	2005	1	12	0.473043858634245	Pruikemakers
905	2005	1	13	6.19040028221369	Pruikemakers
905	2005	1	14	0.220125040426976	Pruikemakers
906	2005	1	13	1.63717384793863	Pruikemakers
907	2005	1	12	3.96150407486612	Pruikemakers
908	2005	1	12	0.826652739295145	Pruikemakers
908	2005	1	13	3.30196402581747	Pruikemakers
909	2005	1	12	0.229693985770896	Pruikemakers
910	2005	1	13	0.947404184081718	Pruikemakers
911	2005	1	13	4.48663679203575	Pruikemakers
911	2005	1	14	0.419343801909535	Pruikemakers
911	2005	1	15	0.586368072743196	Pruikemakers
912	2005	1	13	1.39768495610214	Pruikemakers
913	2005	1	11	2.27133752550541	Pruikemakers
913	2005	1	13	0.581465707520797	Pruikemakers
913	2005	1	14	1.44769104624645	Pruikemakers
914	2005	1	12	0.992763342862908	Pruikemakers
914	2005	1	13	3.07285950279876	Pruikemakers
915	2005	1	12	0.178577740776628	Pruikemakers
915	2005	1	13	1.86322298902514	Pruikemakers
915	2005	1	14	0.998215873320686	Pruikemakers
916	2005	1	14	0.249156080972442	Pruikemakers
917	2005	1	12	8.11821856449989	Pruikemakers
917	2005	1	13	0.607775395026976	Pruikemakers
917	2005	1	14	0.623592645544134	Pruikemakers
918	2005	1	12	0.636472406679533	Pruikemakers
918	2005	1	13	0.164715541720908	Pruikemakers
919	2005	1	12	3.96938322698709	Pruikemakers
919	2005	1	13	2.10181786235414	Pruikemakers
920	2005	1	12	0.358491597124893	Pruikemakers
921	2005	1	10	0.298317274505272	Pruikemakers
922	2005	1	12	5.29053626909628	Pruikemakers
922	2005	1	13	17.2236005757169	Pruikemakers
923	2005	1	12	14.8609552698969	Pruikemakers
923	2005	1	13	3.9451956053888	Pruikemakers
923	2005	1	14	4.06445374453649	Pruikemakers
923	2005	1	15	1.27095046438082	Pruikemakers
924	2005	1	13	1.44664966205091	Pruikemakers
925	2005	1	10	1.33584048901798	Pruikemakers
925	2005	1	13	0.390627141498571	Pruikemakers
927	2005	1	13	1.82202936702611	Pruikemakers
927	2005	1	14	0.61002517786451	Pruikemakers
928	2005	1	10	0.513343462125785	Pruikemakers
928	2005	1	12	3.96607241119561	Pruikemakers
929	2005	1	10	0.931321675326074	Pruikemakers
929	2005	1	13	0.538926145570927	Pruikemakers
930	2005	1	12	33.6237511597588	Pruikemakers
930	2005	1	13	12.7998889324776	Pruikemakers
931	2005	1	10	0.144035223498165	Pruikemakers
931	2005	1	12	4.27409617235365	Pruikemakers
931	2005	1	13	0.671624035468595	Pruikemakers
933	2005	1	11	17.6194051650555	Pruikemakers
933	2005	1	13	2.10002982533915	Pruikemakers
934	2005	1	12	10.6660927158171	Pruikemakers
934	2005	1	13	2.62047631362885	Pruikemakers
935	2005	1	12	1.17788412018887	Pruikemakers
935	2005	1	13	1.56828530096577	Pruikemakers
936	2005	1	12	3.82532835473052	Pruikemakers
937	2005	1	13	0.259157299001303	Pruikemakers
938	2005	1	12	0.193147295134979	Pruikemakers
938	2005	1	13	0.438108366187653	Pruikemakers
938	2005	1	14	1.46015818345531	Pruikemakers
939	2005	1	12	2.74215125006053	Pruikemakers
939	2005	1	13	1.23672232723686	Pruikemakers
940	2005	1	13	1.58159733478611	Pruikemakers
941	2005	1	12	0.691518403355082	Pruikemakers
942	2005	1	12	0.159823000877713	Pruikemakers
942	2005	1	13	2.31535074433576	Pruikemakers
942	2005	1	14	2.62844388516265	Pruikemakers
943	2005	1	10	0.271820923794232	Pruikemakers
943	2005	1	12	14.5463000527767	Pruikemakers
943	2005	1	13	6.81305961173352	Pruikemakers
945	2005	1	11	0.324636786390654	Pruikemakers
945	2005	1	13	0.528217572239435	Pruikemakers
945	2005	1	14	0.167584260448244	Pruikemakers
946	2005	1	13	0.414510207341559	Pruikemakers
947	2005	1	13	0.932431830176036	Pruikemakers
948	2005	1	12	0.859102663803326	Pruikemakers
948	2005	1	13	0.592252875885915	Pruikemakers
949	2005	1	12	1.26335621925674	Pruikemakers
949	2005	1	13	32.5061003084648	Pruikemakers
949	2005	1	15	0.698493712589356	Pruikemakers
950	2005	1	12	25.0570398602535	Pruikemakers
950	2005	1	13	0.654686805722273	Pruikemakers
951	2005	1	12	0.206940723536277	Pruikemakers
952	2005	1	12	0.440721651055705	Pruikemakers
952	2005	1	13	0.138484449248355	Pruikemakers
953	2005	1	12	0.662546309084835	Pruikemakers
955	2005	1	13	2.36400107015003	Pruikemakers
955	2005	1	14	1.32021972608488	Pruikemakers
956	2005	1	11	0.327083056812251	Pruikemakers
956	2005	1	12	1.98198008483346	Pruikemakers
956	2005	1	13	0.338715121788844	Pruikemakers
957	2005	1	12	1.09983925179862	Pruikemakers
957	2005	1	13	1.9729023584497	Pruikemakers
958	2005	1	13	1.30848941731626	Pruikemakers
959	2005	1	12	1.51357333318313	Pruikemakers
959	2005	1	13	0.861234554090421	Pruikemakers
960	2005	1	12	19.0820882139661	Pruikemakers
960	2005	1	13	0.961256558758235	Pruikemakers
960	2005	1	14	0.265425252932947	Pruikemakers
961	2005	1	13	17.4669602729594	Pruikemakers
963	2005	1	11	1.21727988079372	Pruikemakers
963	2005	1	12	0.324528718219418	Pruikemakers
963	2005	1	13	1.49804098966286	Pruikemakers
964	2005	1	12	0.751555184665858	Pruikemakers
964	2005	1	13	4.30508226436055	Pruikemakers
965	2005	1	13	23.6961177311297	Pruikemakers
965	2005	1	14	1.28649263228028	Pruikemakers
966	2005	1	12	1.01187176041314	Pruikemakers
121000	2005	1	12	0.00116849869321795	Pruikemakers
121000	2005	1	13	0.000111273469387755	Pruikemakers
121000	2005	1	14	2.62379591836735e-05	Pruikemakers
121000	2005	1	15	2.11775510204082e-06	Pruikemakers
1003	2006	1	12	4.2854130712454	Liedekerke
1003	2006	1	13	0.796977219473949	Liedekerke
1003	2006	1	14	0.363269389218995	Liedekerke
1003	2006	1	15	0.381858686572128	Liedekerke
1004	2006	1	12	0.924485086326149	Liedekerke
1004	2006	1	13	1.21669356184287	Liedekerke
1004	2006	1	15	2.52619213939088	Liedekerke
1005	2006	1	13	4.50367462342511	Liedekerke
1005	2006	1	14	1.62131494205365	Liedekerke
1008	2006	1	12	2.80090064472052	Liedekerke
1008	2006	1	13	3.80134154344314	Liedekerke
1008	2006	1	14	2.81663222665102	Liedekerke
1009	2006	1	10	16.3301035462735	Liedekerke
1009	2006	1	12	4.36320800742872	Liedekerke
1009	2006	1	13	2.15185971323874	Liedekerke
1009	2006	1	14	1.68882493213672	Liedekerke
1011	2006	1	10	0.584841364215018	Liedekerke
1011	2006	1	11	3.04772520402045	Liedekerke
1011	2006	1	12	0.635997299701266	Liedekerke
1011	2006	1	13	5.58138701540711	Liedekerke
1018	2006	1	13	2.62740053609127	Liedekerke
1018	2006	1	15	4.23838809072651	Liedekerke
1019	2006	1	13	0.658505345430973	Liedekerke
1019	2006	1	14	0.333758525993244	Liedekerke
1019	2006	1	15	0.840705924282575	Liedekerke
1022	2006	1	10	0.697537211030133	Liedekerke
1023	2006	1	12	2.24077427477941	Liedekerke
1023	2006	1	13	1.86788485344464	Liedekerke
1023	2006	1	14	2.78775798319764	Liedekerke
1024	2006	1	10	0.443412745007047	Liedekerke
1024	2006	1	12	3.02507568723022	Liedekerke
1024	2006	1	13	5.59177099124973	Liedekerke
1024	2006	1	14	0.477719477184633	Liedekerke
1026	2006	1	11	0.265074326107808	Liedekerke
1027	2006	1	13	0.902486336414336	Liedekerke
1027	2006	1	14	1.23979578602679	Liedekerke
1028	2006	1	12	0.663343655700967	Liedekerke
1028	2006	1	13	2.01133650881814	Liedekerke
1028	2006	1	14	0.785348298298701	Liedekerke
1029	2006	1	13	0.728703285664039	Liedekerke
1029	2006	1	14	0.98637867530633	Liedekerke
1032	2006	1	12	2.15309051146532	Liedekerke
1032	2006	1	13	2.55370826066321	Liedekerke
1032	2006	1	14	0.276604217540688	Liedekerke
1035	2006	1	13	0.863383735284914	Liedekerke
1035	2006	1	14	1.98418821230317	Liedekerke
